Produksi,Luas Panen,Curah hujan,Kelembapan,Suhu rata-rata
356709,109807,4150,85.5,25.95
334232,104747,2043,85.32,25.68
377337,115914,4478,85.49,26.12
396977,121929,3931,85.96,25.66
382123,113915,1167,84,25.84
375533,111158,4114,85.34,26.4
381577,114788,3084,84.72,25.81
362979,108751,3254,84.73,24.22
376973,105212,3010,70.15,26.8
379818,109519,3076,67.98,28.5
413375,110550,3030,70.3,29.5
414741,110929,3277,84.28,29.7
441276,116818,3375.2,84.7,25.7
378377,100991,2313.8,83.3,26.1
470469,123853,3150,84.2,26.4
484900,127506,3396,84.2,26.3
510160,132975,3850,84.1,26.5
516869,133629,3822,84,26.8
502552,127934,2465.7,82.52,26.35
581910,144448,2545,82,26.9
622832,147680,3980.9,83.93,26.7
593194,147572,3323,83.7,26.9
578654,128833,2668.9,83.2,27
629224,83449,3350.1,83.38,26.77
714017,82429,3949.8,84.2,26.52
288810.52,65891.16,3649.9,83.79,26.64
296472.07,64406.86,1786.2,83.26,26.56
296925.16,64137.28,4144,80.18,25.84
1646900,433078,2306.7,84.82,26.41
1615751,425940,2034.2,77.51,25.73
1943709,514363,3039.4,82.81,26.43
1971740,515192,1934.9,82.61,26.27
1753656,454087,1253.3,78.46,26.68
1975700,521575,2584.9,84.07,26.95
1801422,476899,2364.7,83.46,26.24
1946406,496879,1488.5,82.86,28.2
1992726,501119,2013.1,77.83,26.71
1951109,475461,2143.5,75.84,27.5
1966293,472635,1682.2,68.71,29.67
2091996,495519,2042.9,81.47,29.66
2124144,496538,1612.8,79.6,26.59
2129914,494102,560.3,74.6,26.18
2308404,524955,1941.4,75.9,27.6
2341075,506547,1940.1,79,26.4
2673844,570417,1789,79.1,26.7
2807676,590608,2710,82.3,26.7
2940795,606973,1568,77.8,26.8
3101455,641876,1685,79.2,26.8
3207002,638090,2456.7,81,26.7
3320064,648731,1682.5,79.9,25.8
3641895,707266,1628.1,78.9,27.1
3831923,390799,2317.6,79.4,26.45
4090654,396559,1825.1,77.04,26.36
2488641.91,511940.93,1385.8,76.05,25.5
2164089.33,464103.42,1706.4,78.03,27.23
2604913.29,545149.05,2211.3,75.8,24.58
