Course Title,Rating,Level,Schedule,What you will learn,Skill gain,Duration to complete (Approx.),Number of Review
Fashion as Design,4.8,Beginner level,Flexible schedule,Not specified,"Art History, Art, History, Creativity",20,2813
Modern American Poetry,4.4,Beginner level,Flexible schedule,Not specified,Not specified,34,100
Pixel Art for Video Games,4.5,Beginner level,Flexible schedule,Not specified,Not specified,9,227
Distribución digital de la música independiente,0,Beginner level,Flexible schedule,Not specified,Not specified,8,0
The Blues: Understanding and Performing an American Art Form,4.8,Beginner level,Flexible schedule,Students will be able to describe the blues as an important musical form. Students will be able to explain differences in jazz and other variations of the blues. ,"Music, Chord, Jazz, Jazz Improvisation",11,582
So You Think You Know Tango?,4.6,Beginner level,Flexible schedule,"Gain an appreciation for the Argentine Tango as a multidimensional art form, including music, dance, and poetry.List the components that make a tango.Eexplore the tango as a living art form today and how it can be used to cross cultural boundaries and stereotypes.",Not specified,5,107
The Politics of Skepticism,4.5,Intermediate level,Flexible schedule,Not specified,Not specified,13,38
Становлення сучасної України,0,Beginner level,Flexible schedule,Not specified,Not specified,23,0
Exploring Beethoven's Piano Sonatas Part 4,4.9,Intermediate level,Flexible schedule,Not specified,Not specified,5,63
悖论：思维的魔方,4.8,Beginner level,Flexible schedule,Not specified,Not specified,44,39
拍摄：像剪辑师一样拍摄,4.8,Not specified,Flexible schedule,Not specified,Not specified,10,21
In the Studio: Postwar Abstract Painting,4.9,Beginner level,Flexible schedule,Not specified,"Art History, Art, History, Color Theory",26,1421
Philosophy of Science,4.7,Intermediate level,Flexible schedule,Not specified,Not specified,12,208
Basic Elements of Design: Design Principles and Software Overview,4.7,Beginner level,Flexible schedule,"Recognize ways to work with graphic designers and other creative professionals. Understand the history and design process of the graphic design profession.Compare the concepts of balance, proximity, alignment, repetition, contrast and space.Discover the use of white space to develop shape, form, and structure in graphic projects.","Print Design, online design, Color Theory, Graphic Design, textual elements",10,925
"Online Games: Literature, New Media, and Narrative",4.6,Beginner level,Flexible schedule,Not specified,Not specified,21,179
Concept Art for Video Games,4.6,Not specified,Flexible schedule,Not specified,Not specified,6,66
The History of Modern Israel -  Part II: Challenges of Israel as a sovereign state,4.8,Beginner level,Flexible schedule,Not specified,Not specified,11,328
Shaping Urban Futures,4.7,Intermediate level,Flexible schedule,Not specified,"Urban sciences, Urban research, Knowledge generation through research",21,28
中国哲学经典著作导读,4.5,Not specified,Flexible schedule,Not specified,Not specified,17,267
Cultura Maya en Yucatán,0,Beginner level,Flexible schedule,"Conocerás los aspectos fundamentales de la Cultura Maya, los personajes  históricos así como su arquitectura y sus avances científicos.",Not specified,14,0
Antisemitismo: Desde sus orígenes hasta el presente,4.9,Beginner level,Flexible schedule,A debatir qué es el antisemitismo y qué tiene de únicoA explicar las raíces históricas e ideológicas del antisemitismo y cómo se ha desarrollado ésteA debatir las características del antisemitismo en el presente díaA identificar el lenguaje y las acciones antisemitas en el pasado y en el presente,"Holocaust, Middle East, Israel, defeatism",21,15
"Herencia negra, aplicación de ritmos afroperuanos",0,Beginner level,Flexible schedule,Not specified,"Musical Notation, Musical Composition",16,0
Storytelling y medios digitales,0,Beginner level,Flexible schedule,Not specified,Not specified,8,0
游戏产业概论,3.5,Beginner level,Flexible schedule,Not specified,Not specified,20,66
Overcoming  Challenges in Self and Society,0,Beginner level,Flexible schedule,Not specified,Not specified,18,0
Proyecto final de Músico moderno,4.6,Not specified,Flexible schedule,Not specified,Not specified,9,23
"Internal Displacement, Conflict and Protection",4.9,Beginner level,Flexible schedule,Not specified,"•\tPractice navigating online in order to engage with specialised resources, •\tLearn to apply technical legal and policy categories to factual scenarios, •\tLearn to engage with technical concepts, •\tPractice sifting complex factual information to identify important features and trends, •\tPractice evaluating on-the-ground problems to identify pertinent solutions",27,48
"Health, Society, and Wellness in COVID-19 Times ",4.6,Beginner level,Flexible schedule,"You will explore perspectives on disease and society and on systemic racism and inequality with scholars across disciplines.You will explore the science and practice of individual and community wellness. You will learn skills relevant to emotions, relationships, common mental health concerns, and learning in the age of Zoom and remote classes. You will learn practices of cooperation, compassion, and anti-racism for community wellness.","Education, COVID-19, health, Public Health, Health Care",52,14
Indigenous Canada,4.8,Not specified,Flexible schedule,Not specified,"Art, History, Indigenous Studies, Human Rights and Allyship, Politics",21,21648
Graphic Design Specialization,4.7,Beginner level,Flexible schedule,"Gain the fundamental skills needed to be a graphic designerCommunicate through image-making and typographyComplete a capstone project to add to your professional portfolioLearn everything you need to know to work in interface design, motion graphics, and editorial design","Art History, Branding Communication, Visual Communication, Typography, Graphic Design",80,16128
UI / UX Design Specialization,4.7,Beginner level,Flexible schedule,Not specified,"User Research, Website Wireframe, strategy, User Interface Design (UI Design), User Experience (UX)",80,6772
Creative Writing Specialization,4.7,Beginner level,Flexible schedule,Not specified,"Short Story Writing, Fiction Writing, Creativity, Copy Editing",40,5035
Modern and Contemporary Art and Design Specialization,4.8,Beginner level,Flexible schedule,"Develop a deeper understanding of artists’ and designers’ processes, including modes of experimentation and responses to technological innovation.Develop critical thinking and looking skills to understand how artists and designers respond to the social and cultural issues of their time.Gain confidence in looking at and talking about modern and contemporary art and design, and find inspiration from art all around you.Better comprehend the choices you make about fashion with respect to expression, identity, and issues such as labor practices and sustainability.","Design, Art, History, Photography, Museums",80,2393
Game Design: Art and Concepts Specialization,4.7,Beginner level,Flexible schedule,Ways to create and describe a game conceptEvaluation and interpretion of different story styles Concepts and approaches involved in creating successful character designs,"Interactive Storytelling, Game Design Document, Video Game Design, Game Design",40,2491
The DIY Musician Specialization,4.7,Beginner level,Flexible schedule,"Tools and techniques to write more compelling songs.Develop your identity and vision as an artist.Use ProTools to record and produce your original music.Strategies to plan, launch, and manage a successful crowdfunding campaign.","Social Media, Songwriting, Music production, Crowdfunding, Music recording",40,443
Music Production Specialization,4.8,Beginner level,Flexible schedule,"Identify and use reference tracks to establish a vision for your productionUse the Production Check-List to run an efficient and well-organized recording sessionEdit your tracks while using your reference tracks and emotional and dynamic timelines to realize your vision for your productionEvaluate your mix by crtically listening to it on different sound systems (ear buds, in the car, sound system, computer, etc.)","Audio Editing, Music, Sound Design, Audio Recording, Music production",40,1815
The Business of Music Production Specialization,4.9,Beginner level,Flexible schedule,"The structure of the recording music industry and to read and interpret recording contractsHow to earn money with your recorded music by leveraging copyright lawCast a clear vision for a recording project and how to use the right tools to achieve your visionHow to record, edit, and mix a production using the industry standard digital audio workstation, Pro Tools","Copyright, Pro Tools, Music production, Music recording, Contracts",40,602
The Singer Songwriter Specialization,4.8,Beginner level,Flexible schedule,"The basics of playing the guitar, including chords, scales, strumming and picking patterns.How to sing in your preferred genre and style healthfully, using proper breathing and vocal techniques.Basic songwriting tools and techniques to augment your songwriting.How to record, edit, and mix music productions that include MIDI and audio to create professional sounding recordings of your music.  ","Guitar, Singing, Ableton, Songwriting, Music production",80,448
"Songwriting: Writing, Arranging, and Producing Music Specialization",4.8,Beginner level,Flexible schedule,Generate lyrics that effectively convey the emotions you want to expressCreate melodies and accompaniment that support your lyricsDevelop balanced arrangements for live and recorded performancesProduce song demos using a DAW,"Music, arranging, Songwriting, Producing",40,196
Fundamentals of Graphic Design,4.8,Beginner level,Flexible schedule,"Implement the fundamentals of color: visual, rhythm, and pattern in design Use scale, weight, direction, texture, and space in a composition Typeset text and experiment with letter formsCreate your own series of images using different image making techniques  ","Creativity, Graphics, Design Theory, Color Theory",15,16929
Photography Basics and Beyond: From Smartphone to DSLR Specialization,4.8,Beginner level,Flexible schedule,Not specified,"Social Media, Photography, Writing, Copywriting",80,5195
Electronic Music Production Specialization,4.8,Intermediate level,Flexible schedule,"The nature of sound and how natural sound is transformed into an electronic signal that we can recordHow to record, edit, and mix live instruments and MIDI in Ableton LiveHow to create custom sounds using a synthesizer and how to integrate those custom sounds for your musical compositionsHow to record, edit, mix, and add effects to vocal tracks for your electronic music productions","MIDI programming, File Management, Audio Recording, Ableton, Music Making, Sound Design, Create custom synthesizer patches, Create an electronic composition, Create custom patches in Strobe 2, Manipulate preset patches, Audio Editing, Music, Audio Production, Music Arrangement, Electronic Digital Instrument, Performance Technique, Live Looping",40,520
Introduction to Philosophy,4.7,Not specified,Flexible schedule,Not specified,Not specified,19,9048
Introduction to Logic and Critical Thinking Specialization,4.6,Beginner level,Flexible schedule,Understand and appreciate arguments that you and other people presentDetermine whether or not an argument is deductively validAnalyze and assess five common forms of inductive arguments Recognize fallacies,"logic, Critical Thinking, Business Communication, Communication, analysis, reason",80,556
Finding Your Professional Voice: Confidence & Impact,4.7,Beginner level,Flexible schedule,Learners will use the embodied voice to engage and connect with an audience is a vital element in dynamic verbal exchange.  ,"Speak with greater clarity, Identify current vocal behaviors connected to speaking and have techniques to address them., Speak with confidence and connection, How to convey meaning and make messages compelling",9,310
Memoir and Personal Essay: Write About Yourself Specialization,4.4,Beginner level,Flexible schedule,Not specified,"Essay Writing, Creativity, Non-fiction Writing, Storytelling, Writing",40,330
Fundamentals of Music Theory,4.5,Beginner level,Flexible schedule,Not specified,"Notation, Scales, Chords, Harmony, Rhythm",11,1707
Visual Elements of User Interface Design,4.7,Beginner level,Flexible schedule,Not specified,"User Interface Design (UI Design), User Experience (UX), Graphic Design",16,5809
"Teaching with Art: Using Inquiry, Activities, and Themes Specialization",4.9,Intermediate level,Flexible schedule,"Learn the ways inquiry, activities, and accessible themes can support students’ creative thinking.Explore how to enhance students’ ability to make connections between classroom content and their prior knowledge and experiences. ","Develop open-ended inquiry-based lessons, Develop inquiry-based lessons using open-ended questions, Create engaging multimodal activities to encourage active learning, Build lessons around themes, Cultivate collective meaning making using Social Emotional Learning strategies",40,36
Greek and Roman Mythology,4.8,Not specified,Flexible schedule,Not specified,"Art History, Greek Mythology, History, Mythology",24,2305
Write A Feature Length Screenplay For Film Or Television,4.6,Beginner level,Flexible schedule,"You will learn how to write and complete a full-length, feature film screenplay. You will have a finished script in hand at the end of the course.","Creative Writing, Filmmaking, Script Writing, Film and Televison Writing, Screenwriting",93,196
Creative Writing: The Craft of Plot,4.7,Not specified,Flexible schedule,Not specified,"Short Story Writing, Fiction Writing, Creativity, Copy Editing",5,4708
Making Architecture,4.8,Beginner level,Flexible schedule,Not specified,Not specified,13,1301
Graphic Design Elements for Non-Designers Specialization,4.7,Beginner level,Flexible schedule,"Appreciate the study of design layout and conceptual elements concerning design projects.Analyze basic design concepts to apply in the professional setting, including typography, color theory, image selection, and layout best practices.Design foundational creative projects, including business card, brochures, ads, websites and manuals.Discover techniques for working and communicating with graphic designers and other creative professionals.","Print Design, textual elements and manipulation, online design, Color Theory, Graphic Design",40,1030
Write Your First Novel,4.3,Beginner level,Flexible schedule,"You will learn how to write and complete a full-length novel of 50,000 words. You will have a finished manuscript in hand at the end of the course.","Creative Writing, Story Telling, Novel Writing",127,297
Introduction to Typography,4.8,Beginner level,Flexible schedule,Review the terminology and measuring system used to describe typeExplore how typefaces tell stories and understand the historic evolutionConduct a peer-reviewed typesetting exerciseDesign of a full-scale typographic poster,"Adobe Illustrator, Adobe Indesign, History, Creativity, Graphics",8,5538
How to Play Guitar Specialization,4.8,Beginner level,Flexible schedule,Not specified,"Guitar, Music, Guitar scales, Guitar chords, guitar performance",40,454
Developing Your Musicianship Specialization,4.9,Beginner level,Flexible schedule,"Aurally identify musical intervals, chords, and chord progressionsWrite and practice major and minor scales in a variety of keysCompose a 12-bar blues with a melodyDefine and discuss harmonic function and modal interchange","Music, Chord, Jazz, Scales, Music theory",40,1232
Become a Journalist: Report the News! Specialization,4.7,Beginner level,Flexible schedule,Not specified,"Professional, Multimedia, Writing, News Writing, Journalism",80,1317
Modern Art & Ideas,4.8,Beginner level,Flexible schedule,Not specified,"Art History, Art, History, Creativity, Art Direction",13,6264
English Composition I,4.6,Beginner level,Flexible schedule,Not specified,"Essay Writing, English Language, Academic Writing, Editing",25,1088
"The Modern World, Part One: Global History from 1760 to 1910",4.8,Beginner level,Flexible schedule,Not specified,Not specified,15,2851
The Cycle: Management of Successful Arts and Cultural Organizations,4.8,Beginner level,Flexible schedule,Not specified,"Fundraising, Management, Marketing, Planning",12,648
Art for Games  Specialization,4.5,Beginner level,Flexible schedule,Not specified,"Design, Animation, 3d modeling, Video Game Development, concept art",40,207
The Art of Music Production,4.8,Intermediate level,Flexible schedule,"Discuss why one musical recording is more compelling than another and identify the unique elements of the recording that contribute to itBegin to assess and establish your identity, vision, and intention as an artist and producerWrite and develop a compelling piece of music by utilizing various toolsEstablish the sonic signature of your production by utilizing specific production techniques","Music, Songwriting, Music production, Audio Production, Music recording",13,1976
Introduction to Game Design,4.7,Beginner level,Flexible schedule,Not specified,"Video Game Development, Gameplay, Video Game Design, Game Design",6,2738
Getting Started With Music Theory,4.5,Beginner level,Flexible schedule,Not specified,Not specified,13,728
Feminism and Social Justice,4.8,Beginner level,Flexible schedule,Explain the working definition of feminism.Compose a personal definition of feminism.Discuss the role of protest in feminism and social justice.,Not specified,8,5966
Songwriting: Writing the Lyrics,4.8,Beginner level,Flexible schedule,"Define and identify the point of view, form, and the ""who, what, where, when, and how"" in a songIdentify whether a lyric is stable or unstable through the use of line lengths, number of lines, stressed and unstressed syllables, and melodyUtilize the various rhyming techniques to evoke specific emotions in a song and define the difference between Assonance and Consonance rhymeUse phrasing to clarify your ideas","Music, Songwriting, Music recording, Poetry",15,845
Introduction to Classical Music,4.9,Not specified,Flexible schedule,Not specified,"Art History, Music, Chord, History",65,3842
Introduction to Imagemaking,4.5,Beginner level,Flexible schedule,Make informed design choices using image-based researchCreate ranges of representation using imagesCompose spreads for your own bookDesign a book with your own images,"Adobe Indesign, Art, Creativity, Graphics",11,2804
A Journey through Western Christianity: from Persecuted Faith to Global Religion (200 - 1650) ,4.8,Beginner level,Flexible schedule,Not specified,Not specified,45,616
"Cameras, Exposure, and Photography",4.8,Not specified,Flexible schedule,Not specified,"Confidence, History, Creativity, Photography",19,5063
"Transmedia Storytelling: Narrative worlds, emerging technologies, and global audiences",4.7,Not specified,Flexible schedule,Not specified,Not specified,26,816
Journey of the Universe: The Unfolding of Life,4.7,Not specified,Flexible schedule,Not specified,Not specified,23,420
The Technology of Music Production,4.8,Beginner level,Flexible schedule,"Discuss the nature of sound, how it travels, and its propertiesSet up your Digital Audio Workstation, record audio, and utilize basic audio editing techniques such as trimming, fades, and mergingDefine the different categories of effects: Dynamic Effects, Delay Effects, and Filter Effects and use them effectively in a recording projectDiscuss the role filters play in music synthesis and define how they effect the input signal ","Audio Editing, Music, Sound Design, Audio Recording, Audio Production",17,1021
Curanderismo: Traditional Healing Using Plants,4.7,Beginner level,Flexible schedule,"Students will be able to provide Information on the history,  traditions, rituals, herbs, and remedies of Curanderismo.Students will be able to analyze curative remedies of plants of the Southwest for medicinal purposes. Students will be able to explain how to use plants in water-based microdosis, alcohol-based tinctures, juice therapy, oils, and smoke.",Not specified,14,211
"The Modern World, Part Two: Global History since 1910",4.8,Beginner level,Flexible schedule,Not specified,Not specified,20,1527
Love as a Force for Social Justice,4.7,Beginner level,Flexible schedule,Not specified,Not specified,27,404
Sharpened Visions: A Poetry Workshop,4.8,Beginner level,Flexible schedule,Not specified,"Music, Poetry Writing, Art, Creativity",8,1701
UX Design Fundamentals,4.8,Beginner level,Flexible schedule,Not specified,"Adobe Illustrator, Adobe Indesign, Adobe XD, Marvel, InVision",13,2068
Egiptología (Egyptology),4.9,Beginner level,Flexible schedule,Not specified,Not specified,36,1419
Ideas from the History of Graphic Design,4.7,Beginner level,Flexible schedule,Learn about the history of graphic designUnderstand the emergence of design as a recognized practiceLearn about graphic design radicalism in late 1950s to early 1970sMake informed design choices,"Art History, History, Graphic Arts, Graphic Design",10,2429
Introduction to Ancient Egypt and Its Civilization,4.6,Intermediate level,Flexible schedule,Not specified,"Art History, Art, History, Mythology",8,2674
The Language of Design: Form and Meaning,4.6,Beginner level,Flexible schedule,"Recall and explain a lexicon of key terms relating to form, meaning, and audience, and apply them successfully within an appraisal of graphic designEstablish and articulate criteria for successful outcomes in a design project that are not limited by personal taste. Employ various ways of talking about visual form, meaning, and context for a given work of design in an objective way. Develop an ability to engage with a work of design in an objective way. ","Visual Communication, Graphic Design",8,763
Piano Techniques for Modern Music,0,Beginner level,Flexible schedule,Develop proper technique to play the pianoMaintain healthy playing habitsApply proper piano technique while playing modern/contemporary music,"Improvisation, Finger Independence, Piano Performance, Chord Progressions, Piano",11,0
Ecologie Politique: défi de la durabilité pour les démocraties,4.8,Beginner level,Flexible schedule,Not specified,Not specified,10,200
Historia del Arte: Del Arte Prehistórico al Renacimiento,4.7,Beginner level,Flexible schedule,"Desarrollo de las artes visuales desde la prehistoria hasta las obras de los grandes maestros del Renacimiento. Relaciones entre los procesos artísticos y su contexto histórico, social y económico. Principales herramientas conceptuales para analizar la historia del arte.","Sistemas de representación, Análisis de obras de arte, Períodos históricos, Procesos artísticos, Artes visuales",16,485
Russian History: from Lenin to Putin,4.7,Beginner level,Flexible schedule,Explain the origins and development of the Russian state and people.Apply theories of politics and society to Russian History.Evaluate the impact of a series of Soviet and Russian leaders on the word.,Not specified,11,752
Music Business Foundations,4.9,Not specified,Flexible schedule,"Analyze recording contract provisionsAssess the various rights that make up the copyright bundle of rightsDiscuss the roles of the personal manager, business manager, road manager, agents, road crew, and attorneysExamine the importance of having written agreements that outline the duties and obligations of various parties ","Copyright, Music business, Revenue streams, Teambuilding, Contracts",11,2547
"El águila, el nopal y ¿la serpiente?",0,Beginner level,Flexible schedule,Not specified,Not specified,7,0
Roman Architecture,4.9,Beginner level,Flexible schedule,Not specified,Not specified,40,608
"The Holocaust - An Introduction (I): Nazi Germany: Ideology, The Jews and the World",4.8,Not specified,Flexible schedule,Not specified,Not specified,7,1368
Seeing Through Photographs,4.8,Beginner level,Flexible schedule,"Understand artists’ processes and the choices that inform a photograph’s making, including experimentation and responses to technological innovation.Learn how context influences the production, circulation, and reception of photographic images.Understand the relationship between a photograph’s subject and meaning, and the differences between photographs as objects and photographic images.Gain confidence in looking at and talking about photography, and find inspiration from photographs all around you.","Art History, Art, History, Photography, Museums",17,4288
Curanderismo: Traditional Healing of the Body,4.7,Beginner level,Flexible schedule,"Provide information on the traditions, rituals and remedies of Curanderismo, a healing tradition with emphasis on treatments of the body.                 Recognize the importance of traditional methods of healing intestinal blockage and shawl alignments.                 Explore different traditional hands on techniques and their impact on bodies ailments.    Demonstrate traditional healing methods for special populations such as infants and the aging community. ",Not specified,14,100
American History Through Baseball Specialization,4.1,Beginner level,Flexible schedule,"Gain a broad sense of historical change, politics, economy, society and culture, and persistent and recurring challenges. Discover some examples of how those changes played out in American history — the people and places involved and their impact. Develop your ability to think historically — examine the past on its own terms, consider context and change, and analyze historical arguments.Apply historical skills to the contemporary world, grapple with questions that matter to you, and learn about baseball. ","Sports, Culture, America, Baseball, US History",40,8
Introduction to Ableton Live,4.8,Not specified,Flexible schedule,"Navigate Ableton LiveProgram MIDI drums and instrumentsRecord and edit audio, including working with preexisting audio loopsCreate a piece of music using MIDI and audio within Ableton Live","MIDI programming, File Management, Audio Recording, Ableton, Music Making",13,1098
Philosophy and the Sciences: Introduction to the Philosophy of Cognitive Sciences,4.6,Not specified,Flexible schedule,Not specified,Not specified,11,1354
Script Writing: Write a Pilot Episode for a TV or Web Series (Project-Centered Course),4.5,Not specified,Flexible schedule,Not specified,Not specified,21,725
Story and Narrative Development for Video Games,4.7,Beginner level,Flexible schedule,Not specified,"Interactive Storytelling, Video Game Development, Video Game Design, Game Design",11,1206
Think Again I: How to Understand Arguments,4.6,Beginner level,Flexible schedule,Not specified,"Evaluation, Interpretation, Language, Linguistics",25,2899
"Philosophy, Science and Religion: Philosophy and Religion",4.6,Beginner level,Flexible schedule,Not specified,Not specified,24,473
Recovering the Humankind's Past and Saving the Universal Heritage,4.4,Not specified,Flexible schedule,Not specified,Not specified,13,266
Violences et religions,4.7,Beginner level,Flexible schedule,Not specified,Not specified,23,119
Getting Started with Essay Writing,4.7,Not specified,Flexible schedule,Not specified,Not specified,19,3152
Discover Acting,4.8,Beginner level,Flexible schedule,Not specified,Not specified,12,26
Chinese Culture and Contemporary China ,4.6,Beginner level,Flexible schedule,Not specified,Not specified,11,498
Copyright for Multimedia,4.6,Not specified,Flexible schedule,Not specified,Not specified,11,398
"Philosophy, Science and Religion: Science and Philosophy",4.5,Beginner level,Flexible schedule,Not specified,Not specified,15,939
Music and Social Action,4.7,Not specified,Flexible schedule,Not specified,Not specified,25,167
Indigenous Religions & Ecology,4.8,Beginner level,Flexible schedule,Not specified,"indigenous, environment, conservation, Religion, Ecology",24,26
Introduction to Religions & Ecology,4.9,Beginner level,Flexible schedule,Not specified,"environment, conservation, Religion, Ecology",14,40
Old Norse Mythology in the Sources,4.6,Beginner level,Flexible schedule,"Identify the differences in literary representation of Old Norse myths in medieval literature and the pre-Christian religionUnderstand the processes underlying the codification of Old Norse mythology, and how the literature was interpreted in ChristianityDescribe the key elements and features of Old Norse mythology and understand how Old Norse mythology came into existence as medieval literature","Mythology, Poetry, Religion, Literature, Scandinavian History",6,264
Brand New Brand,4.9,Intermediate level,Flexible schedule,"Synthesize typography, imagemaking, composition and systematic thinking skills through ideation, invention, and conceptualizationDemonstrate visual research and development skills through the creation of a Brand Development GuideExpand a brand identity's palette through the inclusion of graphic marks or icons, color, secondary typefaces, and/or images ","Adobe Photoshop, Adobe Indesign, Graphics, Color Theory",24,1190
Tecnología musical con software libre Specialization,4.8,Intermediate level,Flexible schedule,Not specified,"netnography, Backcasting, Natural Language Generation, Satisficing, Additive Smoothing, Estimating Equations, trial and error, Econometric Model, Music, implementation research, medical expenditure panel survey, Architectural Compliance, Tadoma, socratic questioning, 5 whys, Formulaic Language",40,168
Web Design: Wireframes to Prototypes,4.8,Intermediate level,Flexible schedule,Not specified,"Adobe Illustrator, Adobe XD, Balsamiq, Sketch, HTML/CSS",40,798
Guitar for Beginners,4.8,Not specified,Flexible schedule,"Identify string names and numbers and read music notation, tablature, chord block diagrams, and fretboard mapsPractice picking, finger picking, and strumming patternsPlay various chords including major and minor triads, open, barre, and pose chordsRead and play a lead sheet","Guitar, Guitar scales, Music notation, Tablature, Guitar chords",22,2231
Creative Writing: The Craft of Character,4.5,Not specified,Flexible schedule,Not specified,Not specified,6,1852
Scandinavian Film and Television,4.7,Beginner level,Flexible schedule,Not specified,Not specified,14,577
"The Bible's Prehistory, Purpose, and Political Future",4.7,Not specified,Flexible schedule,Not specified,Not specified,19,278
"Philosophy, Science and Religion: Religion and Science",4.7,Beginner level,Flexible schedule,Not specified,Not specified,26,181
Science & Religion 101,4.5,Not specified,Flexible schedule,Not specified,Not specified,18,153
"Le Bien, le Juste, l'Utile. Introduction aux éthiques philosophiques",4.8,Not specified,Flexible schedule,Not specified,"Philosophy, History, Human Resources (HR), Personality Development, Personal Development",16,595
Libertarian Free Will Specialization,0,Beginner level,Flexible schedule,"How arguments from philosophers and evidence from neuroscientists contribute to the conversation about free will.To deploy these ideas to challenge assumptions of determinism in discussion and debate.How the bridge between behavior and neurobiology, and the links between attention and consciousness build our understanding of our own free will.","Philosophy, Critical Thinking, Neuroscience",40,0
"AI, Empathy & Ethics",4.2,Beginner level,Flexible schedule,Compose a personal ethical framework for AI use.Explain how various types of AI programs work.Speculate about the role of AI in the future.,Not specified,4,45
What Is Contemporary Art?,4.7,Beginner level,Flexible schedule,Not specified,"Art History, Art, History, Creativity, Museums",11,1793
Emotions: a Philosophical Introduction,4.3,Beginner level,Flexible schedule,Not specified,Not specified,15,484
"Applied Public History: Places, People, Stories",4.8,Beginner level,Flexible schedule,Not specified,"Art, History, Evaluation, Methodology",26,81
Wonders of Ancient Egypt,4.8,Intermediate level,Flexible schedule,Not specified,"Art History, Art, History, Mythology",9,969
Music for Wellness,4.6,Beginner level,Flexible schedule,"The effects music has on the brainStrategies and techniques for regulating emotions and stress by integrating music with ancient practices such as mantra and pranayamaThe scientific underpinnings that support the efficacy of ancient traditional practices used to promote wellnessHow and why music can help you to live a happier, healthier life","Music Therapy, Meditation, Stress Management, breathing, Mental Health",10,305
Roman Art and Archaeology,4.7,Not specified,Flexible schedule,Not specified,Not specified,23,619
Developing Your Musicianship,4.8,Not specified,Flexible schedule,"Construct, sing and play scales such as the major scale and the minor pentatonic scale.Aurally identify major 2nd, major 3rd, perfect 4th, perfect 5th, major 6th, and major 7th intervalsConstruct and play triads and 7th chordsCompose a I-IV-V chord progression in the key of C Major and create a chord chart","Aurally identify musical intervals, Aurally identify chords, Read lead sheets, Piano, Read music notation",16,1254
"Film, Images & Historical Interpretation in the 20th Century: The Camera Never Lies",4.6,Beginner level,Flexible schedule,Not specified,Not specified,21,349
Producción musical con software libre Specialization,0,Beginner level,Flexible schedule,Not specified,"netnography, Backcasting, Natural Language Generation, Satisficing, Music, implementation research, medical expenditure panel survey, Architectural Compliance",40,0
Know Thyself - The Value and Limits of Self-Knowledge: The Unconscious,4.7,Intermediate level,Flexible schedule,"Gain an appreciation of the relation of methods of learning about oneself that do not depend on introspection.Become familiar with contemporary research in experimental social psychology, philosophy, and neuroscience into the emotions and the unconscious.Understand the role of affect in decision making, and self-deception.Be able to identify and analyse unconscious mechanisms motivating own and other people's actions.",Not specified,15,727
Teaching the Violin and Viola: Creating a Healthy Foundation,4.7,Not specified,Flexible schedule,Not specified,Not specified,12,201
"The American South: Its Stories, Music, and Art",4.5,Not specified,Flexible schedule,Not specified,Not specified,7,399
The Ancient Greeks,4.7,Not specified,Flexible schedule,Not specified,"Art History, Greek Mythology, History, Ancient Greece",20,1950
VR and 360 Video Production,4.7,Beginner level,Flexible schedule,Not specified,"Virtual Reality, Camera+, Video Production, 360-degree video",13,841
Web Design: Strategy and Information Architecture,4.8,Intermediate level,Flexible schedule,Not specified,"Adobe Illustrator, Adobe Indesign, Treejack",11,1177
Historia del Arte: Del Barroco al Arte Posmoderno,4.7,Beginner level,Flexible schedule,"Desarrollo de las artes visuales desde el Barroco hasta el Arte Moderno. Sistemas de representación predominantes en los períodos abordados.Relaciones entre los procesos artísticos y su contexto histórico, social y económico.Principales herramientas conceptuales para analizar la historia del arte.","Sistemas de representación, Análisis de obras de arte, Períodos históricos, Procesos artísticos, Artes visuales",14,167
Introduction to Korean Philosophy and Culture,4.8,Beginner level,Flexible schedule,"Compare Korean philosophy with both Chinese philosophy as well as Western philosophyExplore the field of Korean philosophy and its development through its continued innovationDiscuss the key ideas in Korean philosophical debates, such as the concepts of moral emotions and everyday feelingsReflect the Korean philosophical traits reflected in Korean language","Philosophy, History, Culture, Language, Korean philosophy",11,179
Principles of Photo Composition and Digital Image Post-Production,4.7,Not specified,Flexible schedule,Not specified,Not specified,15,1225
Fundamentals of Rehearsing Music Ensembles,4.8,Not specified,Flexible schedule,Not specified,Not specified,21,396
Character Design for Video Games,4.6,Beginner level,Flexible schedule,Not specified,Not specified,9,955
Camera Control,4.8,Not specified,Flexible schedule,Not specified,Not specified,13,1785
 Storytelling in Branding and Content Marketing ,4.4,Beginner level,Flexible schedule,Not specified,Not specified,13,267
Ancient Philosophy: Aristotle and His Successors,4.8,Not specified,Flexible schedule,Not specified,Not specified,15,704
Richard Schechner's Introduction to Performance Studies ,4.7,Beginner level,Flexible schedule,Not specified,Not specified,25,58
ART of the MOOC: Public Art and Pedagogy,4.7,Not specified,Flexible schedule,Not specified,Not specified,9,117
Pensamiento científico,4.8,Not specified,Flexible schedule,Not specified,Not specified,7,1909
Magic in the Middle Ages,4.6,Beginner level,Flexible schedule,Not specified,"Middle East, Astronomy, History, Anthropology",9,1596
Humanidades digitales,4.6,Beginner level,Flexible schedule,Not specified,Not specified,3,833
Ancient Philosophy: Plato & His Predecessors,4.8,Not specified,Flexible schedule,Not specified,Not specified,12,1472
