Course Title,Rating,Level,Schedule,What you will learn,Skill gain,Duration to complete (Approx.),Number of Review
"Primeros pasos en el proceso de diseño de UX: Empatizar, definir e idear",4.9,Beginner level,Flexible schedule,Describir métodos comunes de investigación en UX.Empatizar con los usuarios para comprender sus necesidades y dificultades.Desarrollar declaraciones de problemas para definir las necesidades del usuario. Generar ideas de posibles soluciones a los problemas de los usuarios. ,"Diseño de la experiencia del usuario (UXD), Experiencia del usuario (UX), Esquema, Investigación en UX, Prototipo",30,697
The Social and Technical Context of Health Informatics,4.2,Beginner level,Flexible schedule,"Articulate a coherent problem definition of, and a plan for addressing, a healthcare informatics problem.Create an Informatics Stack analysis of an informatics problem.Describe eleven socio-technical aspects of a health informatics problem or solution.","Informatics, Health Informatics, Digital Health, health, Decision Analysis",9,429
Basic Statistics,4.6,Beginner level,Flexible schedule,Not specified,"Statistics, Confidence Interval, Statistical Hypothesis Testing, R Programming",26,4357
Linux System Programming and Introduction to Buildroot,4,Advanced level,Flexible schedule,"Fundamentals of Linux System Programming, including Processes and Threads.How to build a custom Linux kernel and root filesystem for an Embedded device.How to use Buildroot to build a custom Linux Kernel and root filesystem for an Embedded device.","Shell Script, C Programming, Linux, Embedded Systems Engineering, Electrical Engineering",43,51
Advanced Digital Transformation (Part 1),0,Intermediate level,Flexible schedule,"Summarize the basics of digital transformationDescribe the instrumental purpose that guides successful digital transformations within organizationsExplain the models employed by organizations for leveraging digital technologies for maximum impactUnderstand what firms are doing to realize superior performance, by mastering the instrumental purpose of digital transformation","Artificial Intelligence (AI), Strategic Management, Digital Strategy Development, Digital transformation, Applications Of Artificial Intelligence",24,0
Smart Cities – Management of Smart Urban Infrastructures,4.7,Beginner level,Flexible schedule,Not specified,"Management, City Planning, City Management, Smart City",12,1706
Prediction and Control with Function Approximation,4.8,Intermediate level,Flexible schedule,Not specified,"Function Approximation, Artificial Intelligence (AI), Reinforcement Learning, Machine Learning, Intelligent Systems",21,797
Using Machine Learning in Trading and Finance,3.9,Intermediate level,Flexible schedule,Design basic quantitative trading strategies Use Keras and Tensorflow to build machine learning modelsBuild a pair trading strategy prediction model and back test it.Build a momentum-based trading model and back test it.,"Algorithmic Trading, Python Programming, Machine Learning",18,338
Web3 and Blockchain Fundamentals,4.6,Not specified,Flexible schedule,"Explain the meaning of terms such as “Web3,” “token,” “smart contract,” “decentralized autonomous organization (DAO),” and “blockchain trilemma”Describe seven principles for the design of blockchain-based systems, and seven challenge areas associated with implementing blockchain technologyIdentify five questions one must consider when deciding whether blockchain is appropriate for a particular problem or use-caseDescribe some real-world examples of companies that have integrated blockchain into their business models","Digital Assets, Business Strategy, Blockchain, Web3, Digital transformation",3,40
Essential Epidemiologic Tools for Public Health Practice,4.7,Beginner level,Flexible schedule,"Be conversant in public health history, services, governance, and workforce.Perform numeric estimates to assess public health problems and evaluate the burden of a condition in a populationUse data visualization as an epidemiological tool to describe risk factorsApply basic mapping skills and a tool for epidemiologic descion-making ","Estimation, Geographic Information System (GIS), Statistical Methods, visualization",4,2872
Understanding and Visualizing Data with Python,4.7,Beginner level,Flexible schedule,Properly identify various data types and understand the different uses for each  Create data visualizations and numerical summaries with PythonCommunicate statistical ideas clearly and concisely to a broad audienceIdentify appropriate analytic techniques for probability and non-probability samples,"Statistics, Data Analysis, Python Programming, Data Visualization",19,2573
Mindshift: Break Through Obstacles to Learning and Discover Your Hidden Potential,4.8,Beginner level,Flexible schedule,Not specified,"Learning To Learn, Lifelong Learning, Pomodoro Technique, Meta Learning",10,12590
Desenvolvimento Ágil com Java Avançado,4.7,Intermediate level,Flexible schedule,Not specified,"Java Database Connectivity (JDBC), Servlets, Web, Lambda Calculus",17,194
Responsive Website Development and Design Specialization,4.6,Beginner level,Flexible schedule,Modern full-stack web developmentReactive / multi-user web applicationsAPIs and animationCollaborative multi-user experiences,"APIs, Mongodb, Meteor, JavaScript, HTML/CSS",160,3847
Secure Coding Practices Specialization,4.5,Intermediate level,Flexible schedule,Practice improving the security and robustness of your programs.Create threat models and apply basic cryptography.Evaluate and remediate fragile C++ library code.Exploit common types of injection problems and fix the root causes.,"Cybersecurity, Java, secure programming, C/C++",80,370
Embedded Interface Design Specialization,4,Intermediate level,Flexible schedule,"User experience (UX) and user interface (UI) design considerations and methods for embedded devices and systemsMachine-to-machine (M2M) and internet of things (IoT) protocols and architectures, including leveraging cloud platforms for system designsRapid prototyping for embedded devices to explore interface and system designs, leveraging UI tools, single-board computers, sensors, and the cloud","Rapid Prototyping, Software Development, Internet Of Things (IOT), User Interface Design (UI Design), User Experience (UX)",40,21
Effective Programming in Scala,4.7,Intermediate level,Flexible schedule,"Leverage Scala idioms to model business domains and implement business logicFundamental concepts of the language, allowing you to read and understand Scala codebasesBest practices and common patterns used in the real worldBe comfortable working with asynchronous computations, handling failures, and manipulating recursive data structures","Software Testing, Scala Programming, Parallel Computing, Object-Oriented Programming (OOP), Functional Programming",74,152
